datetime,AHU,CHW_VALVE,CHW_VALVE_POSIT,DIS_AIR_TEMP,DUCT_PRESS_ACTV,MAX_CO2_VAL,MIXED_AIR_TEMP,RTRN_AIR_TEMP,SUPPL_FAN_SP
20FEB15:12:33:00,AHU_5_1,43.33,31.8769,61.0009,0.827,869.6252,74.1782,73.0801,19.895
20FEB15:12:48:00,AHU_5_1,42.63,42.601,63.6472,0.835,840.3286,74.0882,73.0801,19.895
20FEB15:13:03:00,AHU_5_1,30.91,43.6431,61.0909,0.831,860.4702,74.1782,73.1701,19.895
20FEB15:13:18:00,AHU_5_1,46.255,32.2677,61.649,0.831,820.7974,74.8083,73.1701,19.895
20FEB15:13:33:00,AHU_5_1,41.48,44.5983,59.0027,0.827,848.8735,73.8902,73.2601,19.895
20FEB15:13:48:00,AHU_5_1,49.245,48.8098,58.5527,0.835,831.1733,74.2682,73.2601,19.895
20FEB15:14:03:00,AHU_5_1,49.245,45.2929,58.5527,0.827,826.9009,73.9982,73.1701,19.895
20FEB15:14:18:00,AHU_5_1,41.66,42.9918,59.4528,0.835,831.7837,74.2682,73.0801,19.895
20FEB15:14:33:00,AHU_5_1,41.66,48.5058,59.4528,0.835,942.2571,73.9982,73.0801,19.895
20FEB15:14:48:00,AHU_5_1,46.025,44.3812,58.5527,0.835,869.0149,73.8002,73.0801,19.895
20FEB15:15:03:00,AHU_5_1,43.165,44.4246,59.0027,0.839,883.6633,73.9982,73.0801,19.895
20FEB15:15:18:00,AHU_5_1,43.165,19.6766,59.0027,0.835,890.3772,73.8902,72.9721,19.895
20FEB15:15:33:00,AHU_5_1,44.92,37.4344,64.1152,0.823,1006.344,73.8902,72.9721,19.895
20FEB15:15:48:00,AHU_5_1,31.53,45.9008,62.459,0.827,1020.382,73.8002,73.0801,19.895
20FEB15:16:03:00,AHU_5_1,43.28,31.8769,60.7309,0.835,964.2296,73.8902,72.9721,19.895
20FEB15:16:18:00,AHU_5_1,40.31,42.9918,63.5572,0.823,859.8599,73.8902,73.0801,19.895
20FEB15:16:33:00,AHU_5_1,32.235,39.6487,61.0009,0.8189,853.7563,73.8002,73.0801,19.895
20FEB15:16:48:00,AHU_5_1,44.86,32.6584,61.649,0.8149,841.5493,73.8002,73.0801,19.895
20FEB15:17:03:00,AHU_5_1,32.15,45.2495,62.5491,0.8109,825.6802,73.6202,72.9721,19.895
20FEB15:17:18:00,AHU_5_1,39.78,32.6584,60.4609,0.8149,818.9664,73.9982,72.9721,19.895
